Achromobacter_spp.	nusA,rpoB,eno,gltB,lepA,nuoL,nrdA
Kingella_kingae	abcZ,adk,aroE,cpn60,gdh,recA
Klebsiella_aerogenes	dnaA,fusA,gyrB,leuS,pryG,rplB,rpoB
Klebsiella_oxytoca	gapA,infB,mdh,pgi,phoE,rpoB,tonB
Klebsiella_pneumoniae	gapA,infB,mdh,pgi,phoE,rpoB,tonB
Kudoa_septempunctata	cox1,rnl
Lactobacillus_salivarius	pstB,rpsB,nrdB,rpoA,parB
Lactococcus_lactis_bacteriophage	terL,mcp,mtp,tmp,lys
Leptospira_spp.	glmU_1,pntA_1,sucA_1,tpiA_1,pfkB_1,mreA_1,caiB_1
Leptospira_spp.#2	adk_2,glmU_2,icdA_2,lipL32_2,lipL41_2,mreA_2,pntA_2
Leptospira_spp.#3	adk_3,icdA_3,lipL41_3,rrs2_3,secY_3,lipL32_3
Listeria_monocytogenes	abcZ,bglA,cat,dapE,dat,ldh,lhkA
Macrococcus_canis	ack,cpn60,fdh,pta,purA,sar,tuf
Macrococcus_caseolyticus	ack,cpn60,fdh,pta,purA,sar,tuf
Mammaliicoccus_sciuri	ack,aroE,ftsZ,glpK,gmk,pta1,tpiA
Mannheimia_haemolytica	adk,aroE,deoD,gapDH,gnd,mdh,zwf
Melissococcus_plutonius	argE,galK,gbpB,purR
Moraxella_catarrhalis	abcZ,adk,efp,fumC,glyBeta,mutY,ppa,trpE
Mycobacteria_spp.	S14Z,L35,S19,L19,S12,S8,L16,S7
Mycobacteroides_abscessus	argH,cya,gnd,murC,pta,purH,rpoB
Mycoplasma_agalactiae	dnaA,gltX,gyrB,metS,tufA
Mycoplasma_anserisalpingitidis	atpG,fusA,pgiB,plsY,uvrA
Mycoplasma_bovis	dnaA,gltX,gpsA,gyrB,pta2,tdk,tkt
Mycoplasma_flocculare	adk,rpoB,tpiA
Mycoplasma_gallisepticum#1	atpG,dppC,DUF3196,lgT,mraW,plsC,ugpA
Mycoplasma_gallisepticum#2	atpG2,dnaA,fusA,rpoB,ruvB,uvrA
Mycoplasma_hominis	uvrA,gyrB,ftsY,tuf,gap
Mycoplasma_hyopneumoniae	adk,rpoB,tpiA
Mycoplasma_hyorhinis	dnaA,rpoB,gyrB,gltX,adk,gmk
Mycoplasma_iowae	dppC,ulaA,valS,rpoC,leuS,kdpA
Mycoplasma_pneumoniae	ppa,pgm,gyrB,gmk,glyA,atpA,arcC,adk
Mycoplasma_synoviae	adk,atpG,efp,gmk,nagC,ppa,recA
Neisseria_spp.	abcZ,adk,aroE,fumC,gdh,pdhC,pgm
Orientia_tsutsugamushi	gpsA,mdh,nrdB,nuoF,ppdK,sucB,sucD
Ornithobacterium_rhinotracheale	adk,aroE,fumC,gdhA,mdh,pgi,pmi
Paenibacillus_larvae	glpF,sigF,glpT,Natrans,rpoB,ftsA,clpC
Pasteurella_multocida#1	RIRDC_adk,RIRDC_est,RIRDC_pmi,RIRDC_zwf,RIRDC_mdh,RIRDC_gdh,RIRDC_pgi
Pasteurella_multocida#2	mh_adk,mh_aroA,mh_deoD,mh_gdhA,mh_g6pd,mh_mdh,mh_pgi
Pediococcus_pentosaceus	gyrB,pyc,pgm,leuS,glnA,dalR,pgI
Photobacterium_damselae	glpF,gyrB,metG,pntA,pyrC,toxR
Piscirickettsia_salmonis	dnaK,efp,fumC,glyA,murG,rpoD,trpB
Porphyromonas_gingivalis	ftsQ,gpdxJ,hagB,mcmA,pepO,pga,recA
Pseudomonas_aeruginosa	acsA,aroE,guaA,mutL,nuoD,ppsA,trpE
Pseudomonas_fluorescens	glnS,gyrB,ileS,nuoD,recA,rpoB,rpoD
Pseudomonas_putida	argS,gyrB,ileS,nuoC,ppsA,recA,rpoB,rpoD
Rhodococcus_spp.	gapdh,tpi,mdh,icl,rpoB,recA,adk
Riemerella_anatipestifer	dnaB,groEL,gyrA,mdh,gluD,gpi,rpoB
Salmonella_enterica	aroC,dnaN,hemD,hisD,purE,sucA,thrA
Saprolegnia_parasitica	ALTS1,COX1,GLUT,NAD1,RPB2,SHMT,TUBB
